steam_id,alias
STEAM_0:1:40009526,sheepy | logs.tf
STEAM_0:1:16659868,krol.ru
STEAM_0:1:4541761,kukkye
STEAM_0:1:8589161,BeaVerN
STEAM_0:1:42172826,!myDGB.net Rising
STEAM_0:0:15653274,!myDGB.net kileR4funN' :P
STEAM_0:0:3298715,!myDGB.net Coinz
STEAM_0:1:1855127,!myDGB.net Haunter  >: )
STEAM_0:1:13810602,!myDGB.net0dA
STEAM_0:0:20805809,Zebbosai
STEAM_0:1:60619,AVENUE skeej
STEAM_0:1:1524315,kaidus
STEAM_0:1:18696761,Darn!
STEAM_0:1:18504112,mirelin
STEAM_0:1:4541761,kukkye
STEAM_0:1:18696761,Darn!
STEAM_0:1:42172826,!myDGB.net Rising
STEAM_0:0:3298715,!myDGB.net Coinz
STEAM_0:1:8589161,BeaVerN
STEAM_0:1:18504112,mirelin
STEAM_0:0:15653274,!myDGB.net kileR4funN' :P
STEAM_0:1:1855127,!myDGB.net Haunter  >: )
STEAM_0:0:20805809,Zebbosai
STEAM_0:1:1524315,kaidus
STEAM_0:1:13810602,!myDGB.net0dA
STEAM_0:1:60619,AVENUE skeej
STEAM_0:0:35534530,pascal
STEAM_0:1:16099536,dv
STEAM_0:1:11042272,red! #tf2mingle
STEAM_0:0:8921111,5pike #tf2mingle
STEAM_0:1:3275849,B|R|A|V|O
STEAM_0:1:13152294,mge is shit ur shit
STEAM_0:1:13320957,Memaw
STEAM_0:0:17747699,nana!
STEAM_0:1:27674488,skim
STEAM_0:1:25415874,Kai <SF>
STEAM_0:0:16658685,embryo!
STEAM_0:1:17402882,kittybot
STEAM_0:1:15956947,clone
STEAM_0:0:33150443,Dable
STEAM_0:1:15672732,Yum
STEAM_0:1:264287,pine beetle MVM IS FOR LOSERS!
STEAM_0:1:1911328,Jeffeld
STEAM_0:0:27431686,Noble
STEAM_0:0:4067066,bonus! Hugh Laurie
STEAM_0:1:13658505,"JANE, HIS WIFE"
STEAM_0:1:24381739,JRKraft-LFT
STEAM_0:1:43043474,blt.EroticChopsticks
STEAM_0:1:17520914,worst sniper evar
STEAM_0:1:35151220,FanofAngels
STEAM_0:0:18518048,scur 'wolfpackin
STEAM_0:1:24171148,You Must Mike d:)!!!.kwm
STEAM_0:1:14303991,zizah
STEAM_0:0:14835468,Loronix
STEAM_0:1:37361866,thorn
STEAM_0:1:22492378,bench
STEAM_0:1:15436259,bad@life_420
STEAM_0:1:17568585,ya boy rick
STEAM_0:1:9117438,St.Patrick
STEAM_0:0:32552587,ya boy shrt
STEAM_0:0:20065081,chair
STEAM_0:0:9542380,marmadukeGRYLLS
STEAM_0:0:20466718,t-rex movement theory
STEAM_0:0:17747699,n4na
STEAM_0:0:8921111,5pike
STEAM_0:0:33641315,wetback #Juan
STEAM_0:1:11042272,que tiempo?
STEAM_0:0:16658685,2mbryo!
STEAM_0:1:11627932,fendermcbender
STEAM_0:0:15153680,Pigodeath -ts-
STEAM_0:0:35534530,pascal
STEAM_0:1:13152294,kyle
STEAM_0:0:35919363,vanilla LFT
STEAM_0:1:17260233,tofucken
STEAM_0:0:21184880,All MANWICH★彡
STEAM_0:0:5418617,sidestep the russian scout
STEAM_0:1:17052162,TC nighter
STEAM_0:1:26821048,TC Dagun the frussian medic
STEAM_0:1:24759701,TC TurboTabs
STEAM_0:1:33709281,KKR/trial/mixx
STEAM_0:0:25164735,‹Con› Datenshi
STEAM_0:0:18835700,‹Con› sami
STEAM_0:0:30505407,‹Con› TC Fallen
STEAM_0:1:8300622,Chili ‹Con› Carlow
STEAM_0:0:19422883,‹Con› BELL?!
STEAM_0:1:17029160,TC PlayerAvatar MERC/MIX
STEAM_0:1:26751323,‹Con› Greyy
STEAM_0:1:332800,TC h1 -twitch.tv/h1h11
STEAM_0:1:24025816,TC Gladdyù
STEAM_0:0:21142998,TC Spike Himself | ETF2L.org
STEAM_0:0:45409556,llagga
STEAM_0:0:17724231,trick17 » gronon™
STEAM_0:1:3423988,trick17 » f_blue
STEAM_0:0:26798512,`DA.KA.
STEAM_0:0:31907567,Desiqn
STEAM_0:1:20338762,T4F | Bukhar
STEAM_0:1:15418767,trick17 » blitz
STEAM_0:0:25883006,TC POTATOSHOOT!!
STEAM_0:1:1487162,trick17 » Bubschen!!!
STEAM_0:0:25883006,TC POTATOSHOOT!!
STEAM_0:1:3423988,trick17 » f_blue
STEAM_0:0:17724231,trick17 » gronon™
STEAM_0:0:45409556,llagga
STEAM_0:1:20338762,T4F | Bukhar
STEAM_0:0:26798512,`DA.KA.
STEAM_0:1:15418767,trick17 » blitz
STEAM_0:0:31907567,Desiqn
STEAM_0:0:21142998,TC Spike Himself | ETF2L.org
STEAM_0:1:332800,TC h1 -twitch.tv/h1h11
STEAM_0:1:1487162,trick17 » Bubschen!!!
STEAM_0:1:24025816,TC Gladdyù
STEAM_0:0:13708020,zooob | logs.tf
STEAM_0:0:20410126,Hycz
STEAM_0:1:17494569,Hildreth | logs.tf
STEAM_0:0:17635608,qn. fuo
STEAM_0:0:24507746,Ritalin | VanillaTF2.org
STEAM_0:1:40009526,sheepy | logs.tf
STEAM_0:1:3094211,qn. zappis
STEAM_0:1:19008580,qn. lime
STEAM_0:1:1306478,qn. Kritzonite
STEAM_0:0:13159229,Qun.TV
STEAM_0:1:741224,furbo | logs.tf
STEAM_0:0:26605378,Shifty | logs.tf
STEAM_0:1:20388160,qn. Baribur
STEAM_0:1:3094211,qn. zappis
STEAM_0:0:13708020,zooob | logs.tf
STEAM_0:0:20410126,Hycz
STEAM_0:1:741224,furbo | logs.tf
STEAM_0:1:1306478,qn. Kritzonite
STEAM_0:1:19008580,qn. lime
STEAM_0:0:13159229,Qun.TV
STEAM_0:1:40009526,sheepy | logs.tf
STEAM_0:0:17635608,qn. fuo
STEAM_0:0:24507746,Ritalin | VanillaTF2.org
STEAM_0:1:17494569,Hildreth | logs.tf
STEAM_0:0:26605378,Shifty | logs.tf
STEAM_0:0:5418617,sidestep the russian scout
STEAM_0:1:17052162,TC nighter
STEAM_0:1:16555017,add!? twitch.tv/private_meta
STEAM_0:0:33243507,profix
STEAM_0:1:26821048,TC Dagun
STEAM_0:1:24759701,TC TurboTabs
STEAM_0:1:17419879,Jaroi
STEAM_0:0:13600461,add! Regen
STEAM_0:1:17455636,"addict? Darx {o,o}"
STEAM_0:1:17029160,TC PlayerAvatar MERC/MIX
STEAM_0:0:8527279,seeker
STEAM_0:0:14875537,addict! Disaster
STEAM_0:1:4111867,k00di
STEAM_0:0:20357422,sid
STEAM_0:0:18795520,mort
STEAM_0:1:26402823,CAUHTHP<3
STEAM_0:0:11305575,d1egos
STEAM_0:0:19010519,Spicy
STEAM_0:1:16298316,TroX
STEAM_0:0:15611394,hamster^
STEAM_0:0:15622049,lagi
STEAM_0:1:16195078,King Pave
STEAM_0:0:22105200,MInd
STEAM_0:1:18696761,Darn!
STEAM_0:1:27378618,AT| spooge
STEAM_0:0:15074431,AT| Califax
STEAM_0:1:28138082,@ Dillu
STEAM_0:0:7759167,AT| iAwp
STEAM_0:1:14494712,AT| eXtreaL
STEAM_0:1:32813,AT| SiTeHBu0mbb
STEAM_0:0:20989797,luci
STEAM_0:1:33836619,JAKI
STEAM_0:0:30242265,Susu lft/mix/merc
STEAM_0:1:27344902,Battery mix/merc
STEAM_0:0:15227483,kno i horn poxye
STEAM_0:1:21883255,wrex
STEAM_0:1:27378618,AT| spooge
STEAM_0:0:5247518,IDM.Trane
STEAM_0:0:7759167,AT| iAwp
STEAM_0:1:32813,AT| SiTeHBu0mbb
STEAM_0:0:15074431,AT| Califax
STEAM_0:0:22231508,IDM.Ash
STEAM_0:1:14494712,AT| eXtreaL
STEAM_0:1:23174955,IDM.Kokojambo
STEAM_0:1:21010137,rock >:]
STEAM_0:1:28138082,@ Dillu
STEAM_0:0:12354803,IDM.Link
STEAM_0:0:13883537,Hank
STEAM_0:0:39910575,sv_n - using dvorak
STEAM_0:0:43546215,seb ^ ^
STEAM_0:0:37719237,high five
STEAM_0:1:41057329,delpo
STEAM_0:0:37588189,Morin
STEAM_0:0:24846296,Utin
STEAM_0:0:40418616,cj ^ ^
STEAM_0:0:41810661,forgets
STEAM_0:1:24365069,Joshin
STEAM_0:1:1272481,Blackstand
STEAM_0:0:29017215,cut for a no sound reptile
STEAM_0:1:35707485,ryugawa
STEAM_0:1:33802119,HUTCH lfts13
STEAM_0:1:42825263,davidb.TS
STEAM_0:1:17948518,Fred Astaire
STEAM_0:0:32511568,Sleeping Life
STEAM_0:0:51137933,pNc ' devon
STEAM_0:0:25008220,Niko Jims
STEAM_0:0:22059701,dobb
STEAM_0:0:26229482,TWSS ϡpeace LFT
STEAM_0:1:30962550,pNc ' alfunkso
STEAM_0:1:5239045,[gOf] fotochop
STEAM_0:1:3148277,♣ club
