ID,Label,Count
[U:1:419337172],[U:1:419337172],55
[U:1:64997459],[U:1:64997459],202
[U:1:147729759],[U:1:147729759],20
[U:1:192722284],[U:1:192722284],939
[U:1:258631813],[U:1:258631813],278
[U:1:197085786],[U:1:197085786],18
[U:1:325105827],[U:1:325105827],259
[U:1:124205952],[U:1:124205952],186
[U:1:168887301],[U:1:168887301],134
[U:1:108589328],[U:1:108589328],2
[U:1:54226197],[U:1:54226197],7
[U:1:114143419],[U:1:114143419],230
[U:1:34284979],[U:1:34284979],331
[U:1:96748980],[U:1:96748980],114
[U:1:67418563],[U:1:67418563],124
[U:1:41435165],[U:1:41435165],113
[U:1:248256384],[U:1:248256384],266
[U:1:138380504],[U:1:138380504],12
[U:1:148896172],[U:1:148896172],125
[U:1:150233626],[U:1:150233626],233
[U:1:73429701],[U:1:73429701],329
[U:1:855006242],[U:1:855006242],165
[U:1:109702983],[U:1:109702983],407
[U:1:190905255],[U:1:190905255],559
[U:1:18020887],[U:1:18020887],23
[U:1:89441429],[U:1:89441429],189
[U:1:94684157],[U:1:94684157],19
[U:1:138690922],[U:1:138690922],96
[U:1:75405621],[U:1:75405621],347
[U:1:92616699],[U:1:92616699],298
[U:1:901522584],[U:1:901522584],222
[U:1:103849558],[U:1:103849558],154
[U:1:112793929],[U:1:112793929],224
[U:1:112756760],[U:1:112756760],453
[U:1:42776511],[U:1:42776511],14
[U:1:96664776],[U:1:96664776],348
[U:1:22774674],[U:1:22774674],4
[U:1:154730388],[U:1:154730388],513
[U:1:293602500],[U:1:293602500],209
[U:1:76070675],[U:1:76070675],136
[U:1:218033203],[U:1:218033203],294
[U:1:361183413],[U:1:361183413],27
[U:1:874544501],[U:1:874544501],87
[U:1:99542115],[U:1:99542115],18
[U:1:125240204],[U:1:125240204],18
[U:1:134405706],[U:1:134405706],16
[U:1:161317803],[U:1:161317803],8
[U:1:226625470],[U:1:226625470],1
[U:1:99610042],[U:1:99610042],9
[U:1:180665794],[U:1:180665794],1
[U:1:430379779],[U:1:430379779],1
[U:1:132766826],[U:1:132766826],1
[U:1:39881695],[U:1:39881695],18
[U:1:336605769],[U:1:336605769],18
[U:1:393757717],[U:1:393757717],1
[U:1:106143747],[U:1:106143747],123
[U:1:336145564],[U:1:336145564],75
[U:1:137546040],[U:1:137546040],216
[U:1:141929391],[U:1:141929391],284
[U:1:173260346],[U:1:173260346],510
[U:1:84500845],[U:1:84500845],377
[U:1:106169285],[U:1:106169285],126
[U:1:890829573],[U:1:890829573],39
[U:1:230448315],[U:1:230448315],231
[U:1:39616579],[U:1:39616579],100
[U:1:191694677],[U:1:191694677],101
[U:1:39481421],[U:1:39481421],124
[U:1:109148676],[U:1:109148676],179
[U:1:96265858],[U:1:96265858],159
[U:1:115493799],[U:1:115493799],704
[U:1:71647970],[U:1:71647970],269
[U:1:199537231],[U:1:199537231],48
[U:1:68458784],[U:1:68458784],501
[U:1:1013127103],[U:1:1013127103],299
[U:1:127859943],[U:1:127859943],272
[U:1:123453947],[U:1:123453947],265
[U:1:354890507],[U:1:354890507],610
[U:1:240905511],[U:1:240905511],27
[U:1:22862574],[U:1:22862574],129
[U:1:109457536],[U:1:109457536],105
[U:1:94770515],[U:1:94770515],536
[U:1:3151199],[U:1:3151199],325
[U:1:199785918],[U:1:199785918],15
[U:1:206869541],[U:1:206869541],32
[U:1:31659231],[U:1:31659231],154
[U:1:299858042],[U:1:299858042],654
[U:1:146334357],[U:1:146334357],437
[U:1:393642295],[U:1:393642295],510
[U:1:209803743],[U:1:209803743],12
[U:1:256221812],[U:1:256221812],393
[U:1:837557388],[U:1:837557388],550
[U:1:264416620],[U:1:264416620],59
[U:1:299833031],[U:1:299833031],321
[U:1:910130136],[U:1:910130136],80
[U:1:906011993],[U:1:906011993],130
[U:1:151149611],[U:1:151149611],60
[U:1:153895418],[U:1:153895418],25
[U:1:884730789],[U:1:884730789],22
[U:1:335142055],[U:1:335142055],1
[U:1:1004526489],[U:1:1004526489],39
[U:1:248132873],[U:1:248132873],226
[U:1:231218866],[U:1:231218866],114
[U:1:212478343],[U:1:212478343],288
[U:1:62402617],[U:1:62402617],62
[U:1:95893154],[U:1:95893154],486
[U:1:32550864],[U:1:32550864],53
[U:1:906153935],[U:1:906153935],2
[U:1:79817144],[U:1:79817144],149
[U:1:99322777],[U:1:99322777],169
[U:1:113078886],[U:1:113078886],297
[U:1:1128598400],[U:1:1128598400],257
[U:1:336936731],[U:1:336936731],3
[U:1:164505650],[U:1:164505650],266
[U:1:106558648],[U:1:106558648],194
[U:1:112730669],[U:1:112730669],86
[U:1:239828790],[U:1:239828790],43
[U:1:190782862],[U:1:190782862],21
[U:1:138311067],[U:1:138311067],62
[U:1:252288943],[U:1:252288943],17
[U:1:426690057],[U:1:426690057],462
[U:1:56540740],[U:1:56540740],2
[U:1:333437334],[U:1:333437334],70
[U:1:230941247],[U:1:230941247],581
[U:1:74177271],[U:1:74177271],527
[U:1:175558253],[U:1:175558253],128
[U:1:168014391],[U:1:168014391],108
[U:1:426835266],[U:1:426835266],211
[U:1:252053503],[U:1:252053503],56
[U:1:186867964],[U:1:186867964],119
[U:1:226414682],[U:1:226414682],106
[U:1:45499015],[U:1:45499015],175
[U:1:168024161],[U:1:168024161],150
[U:1:282416376],[U:1:282416376],48
[U:1:251048051],[U:1:251048051],429
[U:1:241971812],[U:1:241971812],214
[U:1:97173861],[U:1:97173861],75
[U:1:327086521],[U:1:327086521],46
[U:1:862706197],[U:1:862706197],198
[U:1:202179655],[U:1:202179655],60
[U:1:158016739],[U:1:158016739],166
[U:1:135157377],[U:1:135157377],173
[U:1:103295812],[U:1:103295812],358
[U:1:136494519],[U:1:136494519],141
[U:1:105629305],[U:1:105629305],3
[U:1:355120726],[U:1:355120726],84
[U:1:111256503],[U:1:111256503],52
[U:1:111270195],[U:1:111270195],55
[U:1:95947321],[U:1:95947321],229
[U:1:1054353042],[U:1:1054353042],114
[U:1:159413592],[U:1:159413592],111
[U:1:125059932],[U:1:125059932],323
[U:1:374679120],[U:1:374679120],46
[U:1:87808604],[U:1:87808604],275
[U:1:89195940],[U:1:89195940],195
[U:1:125627225],[U:1:125627225],72
[U:1:185860858],[U:1:185860858],15
[U:1:38645555],[U:1:38645555],903
[U:1:1105697607],[U:1:1105697607],117
[U:1:151541804],[U:1:151541804],656
[U:1:301521556],[U:1:301521556],4
[U:1:72206927],[U:1:72206927],83
[U:1:83779392],[U:1:83779392],184
[U:1:1013825472],[U:1:1013825472],105
[U:1:477787496],[U:1:477787496],569
[U:1:157531120],[U:1:157531120],9
[U:1:325704649],[U:1:325704649],185
[U:1:67647962],[U:1:67647962],149
[U:1:90639321],[U:1:90639321],569
[U:1:311882276],[U:1:311882276],14
[U:1:85549578],[U:1:85549578],35
[U:1:452358924],[U:1:452358924],107
[U:1:102862582],[U:1:102862582],95
[U:1:107876215],[U:1:107876215],649
[U:1:197662912],[U:1:197662912],300
[U:1:127462371],[U:1:127462371],135
[U:1:111979743],[U:1:111979743],7
[U:1:158068591],[U:1:158068591],139
[U:1:166309971],[U:1:166309971],16
[U:1:112963324],[U:1:112963324],140
[U:1:53684770],[U:1:53684770],121
[U:1:1092637049],[U:1:1092637049],135
[U:1:66842739],[U:1:66842739],36
[U:1:35913780],[U:1:35913780],387
[U:1:106459841],[U:1:106459841],166
[U:1:97252216],[U:1:97252216],122
[U:1:131358739],[U:1:131358739],105
[U:1:311509672],[U:1:311509672],205
[U:1:352630854],[U:1:352630854],151
[U:1:117651834],[U:1:117651834],27
[U:1:1002226597],[U:1:1002226597],55
[U:1:177415086],[U:1:177415086],105
[U:1:183092706],[U:1:183092706],48
[U:1:120175766],[U:1:120175766],151
[U:1:51337520],[U:1:51337520],100
[U:1:146905179],[U:1:146905179],12
[U:1:238766874],[U:1:238766874],8
[U:1:28353669],[U:1:28353669],23
[U:1:114644385],[U:1:114644385],91
[U:1:384810198],[U:1:384810198],96
[U:1:60095950],[U:1:60095950],9
[U:1:219508078],[U:1:219508078],188
[U:1:86449174],[U:1:86449174],214
