steam_id1,steam_id2,count
STEAM_0:0:154182,STEAM_0:0:80198,1
STEAM_0:0:17757495,STEAM_0:0:8520477,4
STEAM_0:0:17757495,STEAM_0:1:282682,1
STEAM_0:0:17757495,STEAM_0:0:19151802,1
STEAM_0:0:17757495,STEAM_0:1:6165188,1
STEAM_0:1:4541761,STEAM_0:0:27788728,1
STEAM_0:1:4541761,STEAM_0:1:159631,2
STEAM_0:1:4541761,STEAM_0:0:26431514,2
STEAM_0:1:4541761,STEAM_0:1:7535486,2
STEAM_0:1:4541761,STEAM_0:0:8520477,2
STEAM_0:1:4541761,STEAM_0:0:154182,2
STEAM_0:1:4541761,STEAM_0:0:17757495,2
STEAM_0:1:4541761,STEAM_0:1:1524315,7
STEAM_0:1:4541761,STEAM_0:1:18504112,7
STEAM_0:1:4541761,STEAM_0:1:18696761,7
STEAM_0:1:4541761,STEAM_0:0:20805809,7
STEAM_0:0:27788728,STEAM_0:1:159631,2
STEAM_0:0:27788728,STEAM_0:0:26431514,6
STEAM_0:0:27788728,STEAM_0:1:7535486,8
STEAM_0:0:27788728,STEAM_0:1:1524315,2
STEAM_0:0:27788728,STEAM_0:1:18504112,2
STEAM_0:0:27788728,STEAM_0:1:18696761,2
STEAM_0:0:27788728,STEAM_0:0:20805809,2
STEAM_0:1:159631,STEAM_0:0:26431514,2
STEAM_0:1:159631,STEAM_0:1:7535486,2
STEAM_0:1:159631,STEAM_0:0:8520477,2
STEAM_0:1:159631,STEAM_0:0:154182,2
STEAM_0:1:159631,STEAM_0:0:17757495,2
STEAM_0:1:159631,STEAM_0:1:1524315,2
STEAM_0:1:159631,STEAM_0:1:18504112,2
STEAM_0:1:159631,STEAM_0:1:18696761,2
STEAM_0:1:159631,STEAM_0:0:20805809,2
STEAM_0:0:26431514,STEAM_0:1:1524315,2
STEAM_0:0:26431514,STEAM_0:1:18504112,2
STEAM_0:0:26431514,STEAM_0:1:18696761,2
STEAM_0:0:26431514,STEAM_0:0:20805809,2
STEAM_0:1:7535486,STEAM_0:1:1524315,2
STEAM_0:1:7535486,STEAM_0:1:18504112,2
STEAM_0:1:7535486,STEAM_0:1:18696761,2
STEAM_0:1:7535486,STEAM_0:0:20805809,2
STEAM_0:0:8520477,STEAM_0:1:1524315,2
STEAM_0:0:8520477,STEAM_0:1:18504112,2
STEAM_0:0:8520477,STEAM_0:1:18696761,2
STEAM_0:0:8520477,STEAM_0:0:20805809,2
STEAM_0:0:154182,STEAM_0:1:1524315,1
STEAM_0:0:154182,STEAM_0:1:18504112,1
STEAM_0:0:154182,STEAM_0:1:18696761,1
STEAM_0:0:154182,STEAM_0:0:20805809,1
STEAM_0:0:17757495,STEAM_0:1:1524315,2
STEAM_0:0:17757495,STEAM_0:1:18504112,2
STEAM_0:0:17757495,STEAM_0:1:18696761,2
STEAM_0:0:17757495,STEAM_0:0:20805809,2
STEAM_0:1:1524315,STEAM_0:1:18504112,6
STEAM_0:1:1524315,STEAM_0:1:18696761,5
STEAM_0:1:1524315,STEAM_0:0:20805809,5
STEAM_0:1:18504112,STEAM_0:1:18696761,2
STEAM_0:1:18504112,STEAM_0:0:20805809,3
STEAM_0:1:18696761,STEAM_0:0:20805809,3
STEAM_0:0:27788728,STEAM_0:1:4541761,1
STEAM_0:1:1524315,STEAM_0:0:154182,1
STEAM_0:0:20805809,STEAM_0:1:18504112,4
STEAM_0:0:20805809,STEAM_0:1:18696761,4
STEAM_0:0:20805809,STEAM_0:0:154182,1
STEAM_0:1:18504112,STEAM_0:0:154182,1
STEAM_0:1:18696761,STEAM_0:0:154182,1
STEAM_0:0:24507746,STEAM_0:0:13708020,5
STEAM_0:0:24507746,STEAM_0:1:17494569,4
STEAM_0:0:24507746,STEAM_0:0:513478,4
STEAM_0:0:24507746,STEAM_0:1:39028131,3
STEAM_0:0:24507746,STEAM_0:1:16170708,3
STEAM_0:0:24507746,STEAM_0:0:28992375,3
STEAM_0:0:24507746,STEAM_0:1:18801756,4
STEAM_0:0:24507746,STEAM_0:1:741224,5
STEAM_0:0:24507746,STEAM_0:0:16327666,4
STEAM_0:0:24507746,STEAM_0:0:26605378,8
STEAM_0:0:13708020,STEAM_0:0:513478,4
STEAM_0:0:13708020,STEAM_0:1:39028131,4
STEAM_0:0:13708020,STEAM_0:1:16170708,3
STEAM_0:0:13708020,STEAM_0:0:28992375,3
STEAM_0:0:13708020,STEAM_0:1:18801756,4
STEAM_0:0:13708020,STEAM_0:1:741224,6
STEAM_0:0:13708020,STEAM_0:0:16327666,4
STEAM_0:1:40009526,STEAM_0:1:17494569,4
STEAM_0:1:40009526,STEAM_0:0:513478,4
STEAM_0:1:40009526,STEAM_0:1:39028131,4
STEAM_0:1:40009526,STEAM_0:1:16170708,3
STEAM_0:1:40009526,STEAM_0:0:28992375,3
STEAM_0:1:40009526,STEAM_0:1:18801756,4
STEAM_0:1:40009526,STEAM_0:1:741224,5
STEAM_0:1:40009526,STEAM_0:0:16327666,4
STEAM_0:1:40009526,STEAM_0:0:26605378,7
STEAM_0:1:17494569,STEAM_0:0:513478,4
STEAM_0:1:17494569,STEAM_0:1:39028131,4
